OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,LABEL
LATINSAT A,2002-058H,2026-06-24T02:10:01.396416,14.85484677,0.00528941,64.5552,300.1873,246.9311,112.6215,0,U,27612,999,26865,9.467062000000002e-05,6.83e-06,0.0,Satellite
NIMIQ 2,2002-062A,2026-06-24T04:56:25.031328,1.00271857,0.0005759,9.4626,56.8261,31.179,149.2741,0,U,27632,999,4425,0.0,-7e-07,0.0,Satellite
CORIOLIS,2003-001A,2026-06-24T05:50:54.326112,14.19946525,0.00137819,98.7125,182.0207,187.8035,172.2929,0,U,27640,999,21522,6.1004691e-05,8.599999999999999e-07,0.0,Satellite
SORCE,2003-004A,2026-06-23T20:20:05.981280,15.0373941,0.00162233,39.9898,223.6787,100.384,259.8783,0,U,27651,999,27290,0.00014354376,1.856e-05,0.0,Satellite
NAVSTAR 51 (USA 166),2003-005A,2026-06-23T04:46:42.594240,2.00560308,0.0147990999999999,54.8814,214.7299,53.0898,27.5702,0,U,27663,999,17143,0.0,5.1e-07,0.0,Satellite
USA 167,2003-008A,2026-06-24T05:13:23.822976,1.00273154,0.00039151,10.9755,43.3477,318.4284,227.2538,0,U,27691,999,684,0.0,1e-08,0.0,Satellite
NAVSTAR 52 (USA 168),2003-010A,2026-06-22T23:36:29.107872,1.94743191,0.00021054,54.8097,324.9107,356.0643,353.0417,0,U,27704,999,17002,0.0,-1.06e-06,0.0,Satellite
USA 169 (MILSTAR-2 4),2003-012A,2026-06-23T21:58:05.234304,1.00272837,0.01008219,12.3598,29.7889,9.5335,354.4307,0,U,27711,999,3302,0.0,-2.73e-06,0.0,Satellite
ASIASAT 4,2003-014A,2026-06-23T14:17:38.747040,1.00271662,0.00028529,4.7198,75.6668,19.7928,178.2655,0,U,27718,999,4536,0.0,-2.19e-06,0.0,Satellite
HELLAS-SAT 2,2003-020A,2026-06-23T00:39:46.495008,1.00272014,0.00028232,7.3697,67.8171,36.5525,166.7436,0,U,27811,999,4290,0.0,-8.499999999999999e-07,0.0,Satellite
THURAYA-2,2003-026A,2026-06-24T04:18:02.303712,1.00272123,0.00028745,8.850200000000001,31.9448,13.7679,335.1435,0,U,27825,999,8441,0.0,1.25e-06,0.0,Satellite
OPTUS C1,2003-028B,2026-06-23T14:18:31.474368,1.00272403,0.00057528,6.9062,69.3346,18.3675,194.4481,0,U,27831,999,5312,0.0,-1.5e-06,0.0,Satellite
MOST,2003-031D,2026-06-23T23:15:53.764992,14.21323643,0.00089461,98.7044,182.6007,228.4506,131.5905,0,U,27843,999,19167,4.3860132000000005e-05,5.2e-07,0.0,Satellite
CUTE-1 (CO-55),2003-031E,2026-06-24T06:32:42.497376,14.24339464,0.00099588,98.6736,183.7425,157.9715,202.1894,0,U,27844,999,19268,0.00012196474,2.38e-06,0.0,Satellite
